KEGG_CPD	KEGG_FORMULA	KEGG_EXACT_MASS
C00001	H2O	18.0106
C00002	C10H16N5O13P3	506.9957
C00003	C21H28N7O14P2	664.1169
C00004	C21H29N7O14P2	665.1248
C00005	C21H30N7O17P3	745.0911
C00006	C21H29N7O17P3	744.0833
C00007	O2	31.9898
C00008	C10H15N5O10P2	427.0294
C00009	H3PO4	97.9769
C00010	C21H36N7O16P3S	767.1152
C00011	CO2	43.9898
C00012	C2H4NO2R(C2H2NOR)n	
C00013	H4P2O7	177.9432
C00014	NH3	17.0265
C00015	C9H14N2O12P2	404.0022
C00016	C27H33N9O15P2	785.1571
C00017	C2H4NO2R(C2H2NOR)n	
C00018	C8H10NO6P	247.0246
C00019	C15H22N6O5S	398.1372
C00020	C10H14N5O7P	347.0631
C00021	C14H20N6O5S	384.1216
C00022	C3H4O3	88.016
C00024	C23H38N7O17P3S	809.1258
C00025	C5H9NO4	147.0532
C00026	C5H6O5	146.0215
C00027	H2O2	34.0055
C00028		
C00029	C15H24N2O17P2	566.055
C00030		
C00031	C6H12O6	180.0634
C00032	C34H32FeN4O4	616.1773
C00033	C2H4O2	60.0211
C00035	C10H15N5O11P2	443.0243
C00036	C4H4O5	132.0059
C00037	C2H5NO2	75.032
C00039	C10H17O8PR2(C5H8O5PR)n	
C00040	C22H35N7O17P3SR	
C00041	C3H7NO2	89.0477
C00042	C4H6O4	118.0266
C00043	C17H27N3O17P2	607.0816
C00044	C10H16N5O14P3	522.9907
C00045	C2H4NO2R	
C00046	C10H18O13P2R2(C5H8O6PR)n	
C00047	C6H14N2O2	146.1055
C00048	C2H2O3	74.0004
C00049	C4H7NO4	133.0375
C00051	C10H17N3O6S	307.0838
C00052	C15H24N2O17P2	566.055
C00053	C10H15N5O13P2S	506.9862
C00054	C10H15N5O10P2	427.0294
C00055	C9H14N3O8P	323.0519
C00058	CH2O2	46.0055
C00059	H2SO4	97.9674
C00060	CO2R	
C00061	C17H21N4O9P	456.1046
C00062	C6H14N4O2	174.1117
C00063	C9H16N3O14P3	482.9845
C00064	C5H10N2O3	146.0691
C00065	C3H7NO3	105.0426
C00066	C10H17O10PR2(C5H8O6PR)n	
C00067	CH2O	30.0106
C00068	C12H19N4O7P2S	425.045
C00069	HOR	
C00071	CHOR	
C00072	C6H8O6	176.0321
C00073	C5H11NO2S	149.051
C00074	C3H5O6P	167.9824
C00075	C9H15N2O15P3	483.9685
C00076	Ca	39.9626
C00077	C5H12N2O2	132.0899
C00078	C11H12N2O2	204.0899
C00079	C9H11NO2	165.079
C00080	H	1.0078
C00081	C10H15N4O14P3	507.9798
C00082	C9H11NO3	181.0739
C00083	C24H38N7O19P3S	853.1156
C00084	C2H4O	44.0262
C00085	C6H13O9P	260.0297
C00086	CH4N2O	60.0324
C00087	S	31.9721
C00088	HNO2	47.0007
C00089	C12H22O11	342.1162
C00090	C6H6O2	110.0368
